District,Year,S.No,Size Group(HA),Total No. of Operational Holdings,Estimated No. of Holdings that took insititutional credit,No. of OH that took credit from PACS,No.of OH that took credit from PLDB/SLDB,No.of OH that took credit from CBB,No. of OH that took credit from RRBB,Amount of Credit through Short-Term Loans,Amount of credit through medium-term loans,Amount of credit through long-term loans,Amount of ST-Loans from PLDB/SLDB,Amount of MT-Loans from PLDB/SLDB,Amount of LT-Loans from PLDB/SLDB,Amount of ST-Loans from PAC/CBB,Amount of MT-Loans from PAC/CBB,Amount of LT-Loans from PAC/CBB,Amount of ST-Loans from RRBB,Amount of MT-Loans from RRBB,Amount of LT-Loans from RRBB,Total Amount of ST-Loans,Total Amount of MT-Loans,Total Amount of LT-Loans,Total_Loan_(ST+MT+LT),"In the ST-Loan, Value of the quanitity of fertiliser given","In ST-Loan, Value of quantity of other inputs","In ST-Loan, amoutn given in cash","In ST-Loan, Total",Total
unnao,2006,4,MEDIUM (4.0 - 9.99),5455,519,50,0,152,317,1313777,0,0,0,0,0,8972139,961300,3204335,18178196,0,0,28464112,961300,3204335,32629747,3694599,544737,24224776,28464112,0
unnao,2006,5,LARGE (10 AND ABOVE),224,95,14,0,20,77,1493111,0,0,0,0,0,2925680,2671040,0,8655953,2092315,4266034,13074744,4763355,4266034,22104133,5342,59653,13009749,13074744,0
unnao,2016,1,MARGINAL (BELOW 1.0),438239,199644,90747,22576,40283,57990,2265629327,0,0,0,1154483360,363432070,1230179930,61088460,686581170,1053554600,1016812990,4426700,4549363857,2232384810,1054439940,7836188607,134394612,15936120,4399033125,4549363857,27003
unnao,2016,2,SMALL (1.0 - 1.99),61006,41444,17706,6340,7655,12294,510938292,0,0,0,874334560,51417800,219588800,66495200,92784309,230104320,363481320,14072240,960631412,1304311080,158274349,2423216841,81046824,6881480,872703108,960631412,773
unnao,2016,3,SEMI-MEDIUM (2.0 - 3.99),18597,15509,6552,2114,2801,5284,201581958,0,0,0,334535324,13394940,98150300,24768750,28137300,156274300,221267500,39867780,456006558,580571574,81400020,1117978152,36803060,2060760,417142738,456006558,212
unnao,2016,4,MEDIUM (4.0 - 9.99),3945,3946,2053,529,48,1556,52964080,0,0,0,66245200,0,0,2406000,6255600,32721600,106473520,0,85685680,175124720,6255600,267066000,3689200,112280,81884200,85685680,0
unnao,2016,5,LARGE (10 AND ABOVE),151,151,124,12,4,12,3096000,0,0,0,2360700,0,0,619200,0,0,2825100,0,3096000,5805000,0,8901000,0,0,3096000,3096000,0
varanasi,2006,1,MARGINAL (BELOW 1.0),190965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
varanasi,2006,2,SMALL (1.0 - 1.99),15954,569,175,0,219,175,1988113,0,0,0,0,0,50807353,0,0,22090153,0,0,74885619,0,0,74885619,7510652,0,67374967,74885619,0
varanasi,2006,3,SEMI-MEDIUM (2.0 - 3.99),3691,39,26,0,0,13,433394,0,0,0,0,0,0,0,0,0,33338,0,433394,33338,0,466732,433394,0,0,433394,7
varanasi,2006,4,MEDIUM (4.0 - 9.99),492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
varanasi,2006,5,LARGE (10 AND ABOVE),11,3,0,0,0,3,82409,0,0,0,0,0,98174,173249,0,384614,92399,289987,565197,265648,289987,1120832,0,3869,561328,565197,0
varanasi,2016,1,MARGINAL (BELOW 1.0),261328,130230,65115,3169,31117,31693,1651215720,0,0,0,203988960,0,786567600,11524800,0,1108397640,79233000,15846600,3546180960,294746760,15846600,3856774320,108909360,232800960,3204470640,3546180960,8931
varanasi,2016,2,SMALL (1.0 - 1.99),10448,10448,5735,132,1780,3065,151032608,0,0,0,13513600,1318400,58668800,21424000,16809600,87706560,10217600,10382400,297407968,45155200,28510400,371073568,8981600,428480,287997888,297407968,363
varanasi,2016,3,SEMI-MEDIUM (2.0 - 3.99),2303,2302,2085,125,42,133,65821615,0,0,0,35161440,0,0,2168400,8256600,4874730,15262200,0,70696345,52592040,8256600,131544985,11496690,2034960,57164695,70696345,66
varanasi,2016,4,MEDIUM (4.0 - 9.99),148,148,148,0,0,0,8720400,0,0,0,0,0,0,0,0,0,0,0,8720400,0,0,8720400,5180640,0,3539760,8720400,0
varanasi,2016,5,LARGE (10 AND ABOVE),5,5,5,0,0,0,125000,0,0,0,0,0,0,0,0,0,0,0,125000,0,0,125000,0,0,125000,125000,0
hardwar,2011,1,MARGINAL (BELOW 1.0),96261,43944,18310,4185,14125,7324,397076624,0,0,0,261578804,194614630,329589293,313894565,0,172642010,0,194614630,899307927,575473369,389229260,1864010556,310755619,138636766,449915542,899307927,0
hardwar,2011,2,SMALL (1.0 - 1.99),19987,10698,7034,669,2679,558,287075848,0,0,0,147088687,11165921,103843072,0,34614357,0,0,69228715,390918920,147088687,115008993,653016600,78496430,27133189,285289301,390918920,111
hardwar,2011,3,SEMI-MEDIUM (2.0 - 3.99),10579,4430,3305,420,961,0,204968124,0,0,0,82347897,0,58905795,6311335,37266931,0,0,0,263873919,88659232,37266931,389800082,45982585,10518892,207372442,263873919,60
hardwar,2011,4,MEDIUM (4.0 - 9.99),3108,1575,971,302,474,0,79642499,0,0,0,72260999,0,33022499,1942499,26547499,0,0,0,112664998,74203498,26547499,213415995,21691249,4964166,86009583,112664998,21
hardwar,2011,5,LARGE (10 AND ABOVE),155,124,31,31,93,31,620000,0,0,0,3100000,0,4960000,0,0,0,0,3844000,5580000,3100000,3844000,12524000,1643000,1147000,2790000,5580000,0
nainital,2011,1,MARGINAL (BELOW 1.0),34194,13412,7802,803,4589,344,125588365,0,0,0,78026577,0,110155167,57372483,42685127,0,0,42685127,235743532,135399060,85370254,456512846,77797087,25932362,132014083,235743532,114
nainital,2011,2,SMALL (1.0 - 1.99),9626,4193,3162,240,893,0,78606603,0,0,0,13751428,14542135,21658499,4778621,10657357,0,0,0,100265102,18530049,25199492,143994643,26299607,7253878,66711617,100265102,0
nainital,2011,3,SEMI-MEDIUM (2.0 - 3.99),5061,1762,1190,183,389,0,46213112,0,0,0,16144818,7557149,4122081,10992217,0,0,0,0,50335193,27137035,7557149,85029377,14633389,1625932,34075872,50335193,0
nainital,2011,4,MEDIUM (4.0 - 9.99),1549,610,357,119,134,0,17173047,0,0,0,14298461,11319615,2680961,7447115,0,0,0,0,19854008,21745576,11319615,52919199,6925817,744711,12183480,19854008,0
nainital,2011,5,LARGE (10 AND ABOVE),162,45,27,18,18,0,3240000,0,0,0,0,3600000,540000,0,0,0,0,0,3780000,0,3600000,7380000,252000,108000,3420000,3780000,0
haridwar,2016,1,MARGINAL (BELOW 1.0),108064,21029,5257,0,14019,8762,1140805890,29206500,29206500,0,0,0,1258373735,0,292065000,64412015,29206500,0,2463591640,58413000,321271500,2843276140,210216704,4018814,2249356121,2463591639,0
haridwar,2016,2,SMALL (1.0 - 1.99),22762,10554,3815,0,6739,3688,727914704,0,0,0,0,0,1318577990,101728000,63580000,85125990,419628000,0,2131618684,521356000,63580000,2716554684,130700134,61728550,1939190000,2131618684,0
haridwar,2016,3,SEMI-MEDIUM (2.0 - 3.99),12248,8876,2684,0,5161,3028,651149030,0,0,0,0,0,946543479,319966500,578004000,38801959,409419500,0,1636494468,729386000,578004000,2943884468,148278669,38801959,1449413840,1636494468,0
haridwar,2016,4,MEDIUM (4.0 - 9.99),3309,2416,827,22,1415,435,327137790,0,0,0,0,14585900,487212600,90345500,217700000,0,102319000,0,814350390,192664500,232285900,1239300790,88016110,6531000,719803280,814350390,22
haridwar,2016,5,LARGE (10 AND ABOVE),90,50,5,0,20,25,3280000,0,0,0,0,0,8500000,0,10000000,0,11000000,0,11780000,11000000,10000000,32780000,1680000,0,10100000,11780000,0
nainital,2016,1,MARGINAL (BELOW 1.0),32852,16151,4395,3406,10987,9119,621381871,0,0,0,120857000,142831000,48408722,24720750,0,93048903,0,0,762839496,145577750,142831000,1051248246,629818788,32422637,100598071,762839496,660
nainital,2016,2,SMALL (1.0 - 1.99),9707,5721,2531,1179,3259,2774,576617572,0,20802000,0,38483700,166416000,49210598,7280700,0,62953786,0,0,688781956,45764400,187218000,921764356,617451898,49210598,22119460,688781956,278
nainital,2016,3,SEMI-MEDIUM (2.0 - 3.99),4634,3096,1617,473,1972,1696,404284650,0,0,0,27608000,86768000,74443000,3944000,0,70079950,0,0,548807600,31552000,86768000,667127600,454743200,74443000,19621400,548807600,40
nainital,2016,4,MEDIUM (4.0 - 9.99),1330,897,703,184,11,11,208308700,0,0,0,10810000,89182500,0,1081000,0,0,540500,0,208308700,12431500,89182500,309922700,203444200,0,4864500,208308700,75
nainital,2016,5,LARGE (10 AND ABOVE),128,113,113,0,0,0,35579250,0,0,0,0,0,0,0,0,0,0,0,35579250,0,0,35579250,34073250,0,1506000,35579250,8
hardwar,2006,1,MARGINAL (BELOW 1.0),86448,4937,0,493,493,3951,0,0,0,0,98797714,0,12349714,0,0,116087314,49398857,0,128437028,148196571,0,276633599,0,0,128437028,128437028,986
hardwar,2006,2,SMALL (1.0 - 1.99),21114,5025,251,0,1256,3518,10054285,0,0,0,0,0,28277678,0,0,116252678,0,0,154584641,0,0,154584641,28906071,4398749,121279821,154584641,250
hardwar,2006,3,SEMI-MEDIUM (2.0 - 3.99),12763,4304,461,0,1383,2460,19605813,0,0,0,0,0,34598493,0,0,127629999,61508433,0,181834305,61508433,0,243342738,38058343,11148403,132627559,181834305,152
hardwar,2006,4,MEDIUM (4.0 - 9.99),3852,1622,63,0,286,1273,3183471,0,0,0,0,0,12733884,6366942,0,48866280,20374214,6366942,64783635,26741156,6366942,97891733,13848099,6366942,44568594,64783635,62
hardwar,2006,5,LARGE (10 AND ABOVE),126,105,21,0,21,63,210000,0,0,0,0,0,735000,0,0,2310000,0,0,3255000,0,0,3255000,3097500,52500,105000,3255000,42
nainital,2006,1,MARGINAL (BELOW 1.0),34517,7080,3930,0,1105,2333,41266117,0,0,0,0,0,2088217,7124505,0,17197081,98269039,0,60551415,105393544,0,165944959,14737530,15968718,29845167,60551415,0
nainital,2006,2,SMALL (1.0 - 1.99),8317,2377,1154,0,169,1120,14833556,0,0,0,0,0,1799187,0,0,24068379,11202489,0,40701122,11202489,0,51903611,8621266,2427206,29652650,40701122,33
nainital,2006,3,SEMI-MEDIUM (2.0 - 3.99),6398,2185,1066,29,88,1392,19934509,0,0,0,236962,0,355444,296203,0,30538601,86491481,88861110,50828554,87024646,88861110,226714310,11255740,5568629,34004185,50828554,0
nainital,2006,4,MEDIUM (4.0 - 9.99),2271,920,359,22,22,719,9781039,0,0,0,17988118,0,0,0,11242574,18302910,102981980,53964356,28083949,120970098,65206930,214260977,6498207,674554,20911188,28083949,0
nainital,2006,5,LARGE (10 AND ABOVE),256,72,36,0,0,36,1462857,0,0,0,0,0,0,0,0,0,0,21942857,1462857,0,21942857,23405714,731428,0,731429,1462857,0
24 parganas (north),2011,1,MARGINAL (BELOW 1.0),398691,52212,28181,4973,19893,22379,875744260,0,0,0,245348307,8288794,459514171,879578656,0,507506289,1531490660,294517434,1842764720,2656417623,302806228,4801988571,184782088,81677777,1576304855,1842764720,6631
24 parganas (north),2011,2,SMALL (1.0 - 1.99),36509,7748,2932,606,3640,4348,121023795,0,0,0,38228260,0,82631699,226054625,102594335,81341242,264072327,113792788,284996736,528355212,216387123,1029739071,49304342,27109702,208582692,284996736,910
24 parganas (north),2011,3,SEMI-MEDIUM (2.0 - 3.99),9219,1954,713,164,987,1042,43277717,0,0,0,5926500,0,23047500,121831828,20649462,28710600,46215725,12998790,95035817,173974053,33648252,302658122,12604787,12302975,70128055,95035817,54
24 parganas (north),2011,4,MEDIUM (4.0 - 9.99),422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
24 parganas (south),2011,1,MARGINAL (BELOW 1.0),537941,36694,10842,5004,23352,0,252597077,0,0,0,351955196,20850426,782307996,0,269902931,0,0,0,1034905073,351955196,290753357,1677613626,28173096,21934648,984797329,1034905073,7506
24 parganas (south),2011,2,SMALL (1.0 - 1.99),67198,8550,1884,2041,5495,0,89740730,0,0,0,162939449,0,182260444,0,246713060,0,0,0,272001174,162939449,246713060,681653683,13546363,8735739,249719072,272001174,942
24 parganas (south),2011,3,SEMI-MEDIUM (2.0 - 3.99),9067,1421,441,147,833,0,10559379,0,0,0,4214929,0,23064487,0,33934693,0,0,0,33623866,4214929,33934693,71773488,2651484,505791,30466591,33623866,147
24 parganas (south),2011,4,MEDIUM (4.0 - 9.99),195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bankura,2011,1,MARGINAL (BELOW 1.0),275103,60030,34783,1724,23859,3162,658366035,0,0,0,98312670,0,895432955,0,0,99290048,0,17023615,1653089038,98312670,17023615,1768425323,234285993,112421401,1306381644,1653089038,83364
bankura,2011,2,SMALL (1.0 - 1.99),84894,29649,17283,652,13369,1195,396522373,0,0,0,14239582,0,494048296,0,0,39805611,0,45653623,930376280,14239582,45653623,990269485,173965306,101824972,654586002,930376280,23370
bankura,2011,3,SEMI-MEDIUM (2.0 - 3.99),37920,14351,7950,101,6319,1223,227801341,0,0,0,4077419,0,244999896,30686658,48852580,40720677,25483870,0,513521914,60247947,48852580,622622441,88922909,33541870,391057135,513521914,12945
bankura,2011,4,MEDIUM (4.0 - 9.99),5311,2321,1244,0,912,165,42735293,0,0,0,0,0,44761771,0,0,6638750,0,0,94135814,0,0,94135814,9368935,4149218,80617661,94135814,2821
birbhum,2011,1,MARGINAL (BELOW 1.0),225786,30182,16689,4093,12596,0,622193158,0,0,0,79985556,0,435335561,0,0,0,0,0,1057528719,79985556,0,1137514275,67392554,28363382,961772783,1057528719,2834
birbhum,2011,2,SMALL (1.0 - 1.99),58082,9722,3925,1159,5442,0,89678251,0,0,0,32654396,0,211331044,0,0,0,0,0,301009295,32654396,0,333663691,31383908,18051814,251573573,301009295,802
birbhum,2011,3,SEMI-MEDIUM (2.0 - 3.99),26219,5046,1601,1008,2847,0,32352585,0,0,0,104401447,0,119613213,0,0,0,0,0,151965798,104401447,0,256367245,18199070,8161108,125605620,151965798,415
birbhum,2011,4,MEDIUM (4.0 - 9.99),1274,177,16,32,129,0,203194,0,0,0,2015822,0,5473361,0,0,0,0,0,5676555,2015822,0,7692377,612810,1161113,3902632,5676555,64
burdwan,2011,1,MARGINAL (BELOW 1.0),350280,120314,77990,1803,41925,0,2003287835,0,0,0,160037837,0,1584329964,0,0,0,0,0,3587617799,160037837,0,3747655636,906909632,253991318,2426716849,3587617799,8114
burdwan,2011,2,SMALL (1.0 - 1.99),98077,42112,26994,1356,14514,0,838002173,0,0,0,47749798,0,597371678,0,0,0,0,0,1435373851,47749798,0,1483123649,416499512,103617061,915257278,1435373851,1220
burdwan,2011,3,SEMI-MEDIUM (2.0 - 3.99),33657,14482,8615,495,5640,0,345967802,0,0,0,44318149,0,271555585,0,18659490,0,0,0,617523387,44318149,18659490,680501026,166693761,41972696,408856930,617523387,371
burdwan,2011,4,MEDIUM (4.0 - 9.99),4960,2088,894,108,1138,0,45695964,0,0,0,15205245,0,58893901,0,0,0,0,0,104589865,15205245,0,119795110,30173062,8326295,66090508,104589865,27
burdwan,2011,5,LARGE (10 AND ABOVE),27,4,4,0,0,0,68040,0,0,0,0,0,0,0,0,0,0,0,68040,0,0,68040,17010,28350,22680,68040,0
coochbehar,2011,1,MARGINAL (BELOW 1.0),254288,41716,3936,7872,24405,11021,129734116,0,0,0,310971393,0,656122872,0,959255424,208295724,0,0,994152712,310971393,959255424,2264379529,181953692,98455904,713743116,994152712,1574
coochbehar,2011,2,SMALL (1.0 - 1.99),49130,17421,1332,5162,9992,2165,46585232,0,0,0,207844881,0,188825742,33308474,1093023588,48993435,0,0,284404409,241153355,1093023588,1618581352,46305441,34291074,203807894,284404409,499
coochbehar,2011,3,SEMI-MEDIUM (2.0 - 3.99),19510,6171,794,1474,3970,567,21466671,0,0,0,90630755,0,104759625,0,452094340,17831232,0,0,144057528,90630755,452094340,686782623,18439218,13332589,112285721,144057528,340
coochbehar,2011,4,MEDIUM (4.0 - 9.99),190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
darjeeling,2011,1,MARGINAL (BELOW 1.0),87129,4839,1613,806,2420,0,30495150,0,0,0,16135000,0,88807040,0,0,0,0,0,119302190,16135000,0,135437190,0,52261265,67040925,119302190,3227
darjeeling,2011,2,SMALL (1.0 - 1.99),12743,1443,656,0,656,131,6786632,0,0,0,0,0,25307335,0,0,1970567,0,0,34064534,0,0,34064534,0,15874887,18189647,34064534,262
darjeeling,2011,3,SEMI-MEDIUM (2.0 - 3.99),3504,257,257,0,0,0,2921717,0,0,0,0,0,0,0,0,0,0,0,2921717,0,0,2921717,0,844051,2077666,2921717,206
darjeeling,2011,4,MEDIUM (4.0 - 9.99),682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47
dinajpur (north),2011,1,MARGINAL (BELOW 1.0),221027,33067,9075,2669,21889,0,139134894,0,0,0,167104954,0,784111968,0,200899662,0,0,0,923246862,167104954,200899662,1291251478,173725086,26565950,722955826,923246862,4804
dinajpur (north),2011,2,SMALL (1.0 - 1.99),49162,15176,2283,2955,10342,0,52593937,0,0,0,150642576,0,359320490,0,157506451,0,0,0,411914427,150642576,157506451,720063454,85266519,16332261,310315647,411914427,537
dinajpur (north),2011,3,SEMI-MEDIUM (2.0 - 3.99),14998,2465,136,753,1712,0,2243536,0,0,0,38488018,0,51479436,0,137146094,0,0,0,53722972,38488018,137146094,229357084,4263814,1712100,47747058,53722972,205
dinajpur (north),2011,4,MEDIUM (4.0 - 9.99),582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dinajpur (south),2011,1,MARGINAL (BELOW 1.0),169283,41153,1484,1484,36752,3341,46857979,0,0,0,108400517,0,1267573284,125726038,0,52938060,175876127,87938063,1367369323,410002682,87938063,1865310068,459644180,62189228,845535915,1367369323,2227
dinajpur (south),2011,2,SMALL (1.0 - 1.99),38315,13386,1502,1502,9390,1878,34358976,0,0,0,67633487,15213308,333567760,69969387,14135229,20378321,266942858,27806547,388305057,404545732,57155084,850005873,123925547,17880333,246499177,388305057,469
dinajpur (south),2011,3,SEMI-MEDIUM (2.0 - 3.99),14125,4857,370,476,3597,634,7773511,0,0,0,7512172,6348314,129132125,35833061,19907256,5131554,115917050,84107762,142037190,159262283,110363332,411662805,42143815,5222282,94671093,142037190,370
dinajpur (south),2011,4,MEDIUM (4.0 - 9.99),845,405,101,169,270,33,4301050,0,0,0,4732000,845000,7144644,10175152,0,0,0,14196000,11445694,14907152,15041000,41393846,3719014,371800,7354880,11445694,0
hooghly,2011,1,MARGINAL (BELOW 1.0),297880,111769,68189,3588,42554,1538,1672947400,0,0,0,216360344,0,1609103667,0,19292985,59540110,0,0,3341591177,216360344,19292985,3577244506,839357137,109149179,2393084861,3341591177,20508
hooghly,2011,2,SMALL (1.0 - 1.99),40443,22359,14863,691,6567,1382,597942841,0,0,0,17456166,8641666,342097658,0,73454166,71833162,0,0,1011873661,17456166,82095832,1111425659,353810573,29608078,628455010,1011873661,3629
hooghly,2011,3,SEMI-MEDIUM (2.0 - 3.99),6290,3455,2551,118,830,148,139239831,0,0,0,8426226,0,58152830,0,0,6675707,0,0,204068368,8426226,0,212494594,73001383,3412028,127654957,204068368,415
hooghly,2011,4,MEDIUM (4.0 - 9.99),1157,544,408,68,68,0,30796617,0,0,0,17014705,0,3402941,0,15313235,0,0,0,34199558,17014705,15313235,66527498,17525147,680588,15993823,34199558,34
howrah,2011,1,MARGINAL (BELOW 1.0),209201,63120,26150,901,36069,0,631103509,0,0,0,36069137,0,1406119272,0,0,0,0,0,2037222781,36069137,0,2073291918,77530611,13814479,1945877691,2037222781,1803
howrah,2011,2,SMALL (1.0 - 1.99),15074,8726,3768,595,4363,0,68380424,0,0,0,137451078,0,153100271,0,89563361,0,0,0,221480695,137451078,89563361,448495134,13146114,249911,208084670,221480695,198
howrah,2011,3,SEMI-MEDIUM (2.0 - 3.99),726,725,103,0,622,0,1045439,0,0,0,0,0,19705714,0,0,0,0,0,20751153,0,0,20751153,0,0,20751153,20751153,0
jalpaiguri,2011,1,MARGINAL (BELOW 1.0),237367,22497,7874,0,7874,6749,143455165,0,0,0,0,0,281128025,0,211661616,179993933,0,0,604577123,0,211661616,816238739,47923384,44548498,512105241,604577123,0
jalpaiguri,2011,2,SMALL (1.0 - 1.99),47258,8772,3706,231,3706,1389,104280336,0,0,0,0,17374264,175665398,0,92662745,34748529,140615715,27437438,314694263,140615715,137474447,592784425,42905167,28359433,243429663,314694263,0
jalpaiguri,2011,3,SEMI-MEDIUM (2.0 - 3.99),9142,2329,597,179,717,836,20984773,0,0,0,6871437,0,33251784,0,17987631,21779470,73214872,7076983,76016027,80086309,25064614,181166950,8028229,3288729,64699069,76016027,0
jalpaiguri,2011,4,MEDIUM (4.0 - 9.99),696,181,109,18,36,18,3048663,0,0,0,3479999,0,1465263,0,0,915789,0,0,5429715,3479999,0,8909714,1648421,1098947,2682347,5429715,18
malda,2011,1,MARGINAL (BELOW 1.0),327301,67496,7004,1910,45210,13372,75419319,0,0,0,191031712,0,1547331396,0,0,525209853,0,0,2147960568,191031712,0,2338992280,271876332,94535226,1781549010,2147960568,17829
malda,2011,2,SMALL (1.0 - 1.99),49580,17408,2767,1083,11552,2888,52732902,0,0,0,42840970,0,429935617,0,0,72348291,0,0,555016810,42840970,0,597857780,85743315,29932119,439341376,555016810,2406
malda,2011,3,SEMI-MEDIUM (2.0 - 3.99),14320,6327,920,1092,3565,862,25765073,0,0,0,55669718,0,208378428,0,0,25545959,0,0,259689460,55669718,0,315359178,40183415,17287518,202218527,259689460,1035
malda,2011,4,MEDIUM (4.0 - 9.99),1021,521,99,124,298,0,3304055,0,0,0,3112804,0,15021151,0,0,0,0,0,18325206,3112804,0,21438010,3842446,643479,13839281,18325206,149
malda,2011,5,LARGE (10 AND ABOVE),5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
nadia,2011,1,MARGINAL (BELOW 1.0),338446,62708,23834,11917,21450,11917,611689504,0,0,0,269604812,0,782795407,0,0,297689474,0,0,1692174385,269604812,0,1961779197,294333615,124398766,1273442004,1692174385,48462
nadia,2011,2,SMALL (1.0 - 1.99),73260,19007,6345,3268,6345,4807,161234107,0,0,0,142866614,0,269435281,0,0,124061291,0,0,554730679,142866614,0,697597293,106323333,36123909,412283437,554730679,12306
nadia,2011,3,SEMI-MEDIUM (2.0 - 3.99),11934,3229,1035,810,1080,720,24292670,0,0,0,50573139,0,53063517,0,0,34414953,0,0,111771140,50573139,0,162344279,13799757,7139234,90832149,111771140,1711
nadia,2011,4,MEDIUM (4.0 - 9.99),494,124,12,49,74,37,233415,0,0,0,2284750,0,5735340,0,0,1790750,0,0,7759505,2284750,0,10044255,1328860,586872,5843773,7759505,49
purulia,2011,1,MARGINAL (BELOW 1.0),252969,8106,1945,324,5837,0,56528841,0,0,0,1621596,0,171123798,0,0,0,0,0,227652639,1621596,0,229274235,46306299,29564941,151781399,227652639,1297
purulia,2011,2,SMALL (1.0 - 1.99),49653,2312,630,0,1540,280,23014060,0,0,0,0,0,48581503,3162384,0,7563503,0,0,79159066,3162384,0,82321450,9525812,4818932,64814322,79159066,490
purulia,2011,3,SEMI-MEDIUM (2.0 - 3.99),14884,1141,201,100,703,301,1774011,0,0,0,402270,8481198,24060455,0,0,9788576,3176326,15881630,35623042,3578596,24362828,63564466,5985781,787779,28849482,35623042,201
purulia,2011,4,MEDIUM (4.0 - 9.99),2404,204,28,0,173,57,182472,0,0,0,0,0,8046159,0,0,2432963,0,0,10661594,0,0,10661594,1689172,289638,8682784,10661594,28
24 parganas (north),2006,1,MARGINAL (BELOW 1.0),379390,54196,17280,3141,20422,13353,138638374,0,0,0,8640351,7069378,83654316,25292666,8640351,123321387,25135569,11782298,345614077,59068586,27492027,432174690,63545861,32204948,249863268,345614077,785
24 parganas (north),2006,2,SMALL (1.0 - 1.99),40010,6817,1516,866,2816,1805,19282797,0,0,0,11551623,1877725,22532707,5922057,469431,29971389,4983194,5416516,71786893,22456874,7763672,102007439,7077581,3892669,60816643,71786893,72
24 parganas (north),2006,3,SEMI-MEDIUM (2.0 - 3.99),10537,2376,638,159,1077,638,8701007,0,0,0,2506528,1995643,8142227,6306234,3991287,13769943,3352681,798257,30613177,12165443,6785187,49563807,2354859,4250721,24007597,30613177,39
24 parganas (north),2006,4,MEDIUM (4.0 - 9.99),533,157,46,9,93,9,589105,0,0,0,448842,0,991192,163640,0,74807,0,0,1655104,612482,0,2267586,411438,84157,1159509,1655104,9
24 parganas (north),2006,5,LARGE (10 AND ABOVE),19,19,19,0,0,0,380000,0,0,0,0,0,0,0,0,0,0,0,380000,0,0,380000,95000,0,285000,380000,0
24 parganas (south),2006,1,MARGINAL (BELOW 1.0),538048,18617,4662,2797,12122,0,13054890,0,0,0,13987383,0,81126821,0,51287071,0,0,0,94181711,13987383,51287071,159456165,15432745,8392429,70356537,94181711,932
24 parganas (south),2006,2,SMALL (1.0 - 1.99),75381,3485,999,428,2284,142,6638667,0,0,0,2855340,285534,18131414,0,1770311,2141505,0,0,26911586,2855340,2055845,31822771,5382317,1827418,19701851,26911586,142
24 parganas (south),2006,3,SEMI-MEDIUM (2.0 - 3.99),9589,335,149,0,186,0,1977498,0,0,0,0,0,1156649,0,0,0,0,0,3134147,0,0,3134147,559669,0,2574478,3134147,37
24 parganas (south),2006,4,MEDIUM (4.0 - 9.99),728,85,0,0,85,0,0,0,0,0,0,0,781529,0,267647,0,0,0,781529,0,267647,1049176,299764,42823,438942,781529,10
24 parganas (south),2006,5,LARGE (10 AND ABOVE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bankura,2006,1,MARGINAL (BELOW 1.0),258414,42380,20356,2261,18660,2261,127001716,0,0,0,13288247,5089115,87221793,43766397,28979688,11874603,0,15832805,226098112,57054644,49901608,333054364,35906540,8905952,181285620,226098112,282
bankura,2006,2,SMALL (1.0 - 1.99),85292,16524,8391,459,7241,689,84372409,0,0,0,1724231,2298975,40117126,14023752,29541838,4827849,0,2298975,129317384,15747983,34139788,179205155,17702113,5287644,106327627,129317384,114
bankura,2006,3,SEMI-MEDIUM (2.0 - 3.99),36895,8368,3426,318,3984,796,54147197,0,0,0,7968682,25260723,35460637,16017051,30599740,12112397,9562419,1593736,101720231,33548152,57454199,192722582,21037321,4103871,76579039,101720231,79
bankura,2006,4,MEDIUM (4.0 - 9.99),7420,2292,552,315,1420,157,9630212,0,0,0,1973404,2762765,14603191,2368085,42033510,3946808,35442340,0,28180211,39783829,44796275,112760315,8051489,6235957,13892765,28180211,78
bankura,2006,5,LARGE (10 AND ABOVE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bankura,2016,1,MARGINAL (BELOW 1.0),283077,45629,35457,581,2325,8138,910253160,0,0,0,16856540,0,104045540,0,13078350,112328495,14531500,14531500,1126627195,31388040,27609850,1185625085,38363160,57835370,1030428665,1126627195,12208
bankura,2016,2,SMALL (1.0 - 1.99),86853,25509,16034,729,4859,5102,704404530,0,0,0,23686650,0,239781780,18220500,7288200,138354330,11539650,0,1082540640,53446800,7288200,1143275640,61342350,72153180,949045110,1082540640,728
